iter	Passed	Remaining
1167	2148	16244
1168	2150	16243
1169	2151	16240
1170	2153	16233
1171	2155	16234
1172	2156	16231
1173	2158	16229
1174	2160	16224
1175	2161	16219
1176	2163	16220
1177	2165	16217
1178	2167	16216
1179	2168	16210
1180	2170	16209
1181	2172	16206
1182	2173	16201
1183	2175	16199
1184	2177	16194
1185	2179	16200
1186	2181	16197
1187	2183	16194
1188	2185	16193
1189	2187	16197
1190	2189	16194
1191	2191	16193
1192	2193	16190
1193	2194	16187
1194	2196	16186
1195	2198	16182
1196	2200	16180
1197	2201	16176
1198	2203	16174
1199	2205	16170
1200	2206	16165
1201	2208	16163
1202	2210	16161
1203	2220	16220
1204	2221	16217
1205	2223	16216
1206	2225	16211
1207	2226	16207
1208	2228	16205
1209	2230	16200
1210	2231	16197
1211	2233	16193
1212	2234	16190
1213	2236	16186
1214	2238	16181
1215	2239	16179
1216	2241	16175
1217	2242	16171
1218	2244	16168
1219	2245	16163
1220	2247	16159
1221	2249	16156
1222	2250	16151
1223	2252	16147
1224	2253	16143
1225	2255	16140
1226	2257	16138
1227	2258	16134
1228	2260	16132
1229	2262	16130
1230	2263	16126
1231	2265	16121
1232	2266	16118
1233	2268	16115
1234	2270	16111
1235	2271	16108
1236	2273	16105
1237	2275	16102
1238	2276	16099
1239	2278	16095
1240	2280	16093
1241	2282	16091
1242	2283	16090
1243	2285	16088
1244	2287	16084
1245	2289	16082
1246	2290	16080
1247	2292	16078
1248	2294	16079
1249	2297	16080
1250	2299	16078
1251	2300	16075
1252	2302	16074
1253	2304	16071
1254	2306	16069
1255	2308	16068
1256	2309	16064
1257	2311	16063
1258	2314	16067
1259	2316	16065
1260	2317	16062
1261	2319	16061
1262	2321	16058
1263	2323	16059
1264	2325	16060
1265	2327	16060
1266	2330	16059
1267	2331	16058
1268	2334	16059
1269	2336	16058
1270	2337	16053
1271	2339	16050
1272	2341	16055
1273	2343	16050
1274	2344	16046
1275	2346	16043
1276	2348	16043
1277	2350	16042
1278	2352	16040
1279	2353	16036
1280	2355	16032
1281	2357	16030
1282	2358	16026
1283	2360	16022
1284	2361	16018
1285	2363	16017
1286	2365	16014
1287	2366	16010
1288	2368	16006
1289	2370	16003
1290	2372	16003
1291	2373	15999
1292	2375	15995
1293	2377	15992
1294	2378	15990
1295	2380	15989
1296	2382	15989
1297	2384	15986
1298	2387	15989
1299	2388	15987
1300	2390	15984
1301	2392	15981
1302	2393	15977
1303	2395	15974
1304	2397	15970
1305	2398	15968
1306	2400	15964
1307	2401	15960
1308	2403	15957
1309	2405	15957
1310	2407	15957
1311	2409	15954
1312	2411	15952
1313	2413	15951
1314	2414	15949
1315	2417	15949
1316	2418	15945
1317	2420	15943
1318	2422	15940
1319	2423	15937
1320	2425	15936
1321	2427	15934
1322	2429	15931
1323	2430	15928
1324	2432	15925
1325	2434	15924
1326	2435	15920
1327	2437	15917
1328	2439	15913
1329	2440	15911
1330	2442	15909
1331	2444	15906
1332	2445	15902
1333	2447	15901
1334	2449	15899
1335	2451	15896
1336	2452	15892
1337	2454	15887
1338	2455	15883
1339	2457	15880
1340	2458	15877
1341	2460	15873
1342	2462	15871
1343	2463	15868
1344	2465	15863
1345	2466	15860
1346	2468	15858
1347	2470	15856
1348	2472	15854
1349	2473	15851
1350	2475	15845
1351	2476	15842
1352	2478	15838
1353	2479	15835
1354	2481	15833
1355	2483	15830
1356	2484	15826
1357	2486	15823
1358	2488	15820
1359	2490	15820
1360	2491	15816
1361	2493	15813
1362	2494	15809
1363	2496	15805
1364	2497	15801
1365	2499	15796
1366	2501	15795
1367	2502	15792
1368	2504	15788
1369	2505	15785
1370	2507	15782
1371	2509	15779
1372	2510	15776
1373	2512	15773
1374	2513	15769
1375	2515	15765
1376	2517	15762
1377	2518	15760
1378	2520	15757
1379	2522	15755
1380	2523	15752
1381	2525	15749
1382	2527	15745
1383	2528	15742
1384	2530	15739
1385	2532	15736
1386	2533	15734
1387	2535	15733
1388	2537	15731
1389	2539	15733
1390	2541	15731
1391	2543	15730
1392	2545	15728
1393	2547	15725
1394	2548	15722
1395	2550	15718
1396	2552	15716
1397	2553	15712
1398	2555	15708
1399	2556	15705
1400	2558	15702
1401	2560	15700
1402	2562	15700
1403	2563	15697
1404	2565	15693
1405	2566	15690
1406	2568	15688
1407	2570	15686
1408	2572	15684
1409	2574	15682
1410	2575	15680
1411	2577	15676
1412	2579	15673
1413	2581	15672
1414	2582	15669
1415	2584	15666
1416	2585	15663
1417	2587	15660
1418	2589	15657
1419	2591	15655
1420	2592	15651
1421	2594	15649
1422	2595	15646
1423	2597	15644
1424	2599	15641
1425	2600	15637
1426	2602	15634
1427	2604	15632
1428	2605	15628
1429	2607	15625
1430	2609	15623
1431	2610	15619
1432	2611	15615
1433	2613	15613
1434	2615	15611
1435	2617	15609
1436	2619	15606
1437	2620	15605
1438	2622	15603
1439	2624	15600
1440	2626	15599
1441	2627	15596
1442	2629	15594
1443	2631	15589
1444	2632	15587
1445	2634	15583
1446	2635	15579
1447	2637	15577
1448	2639	15574
1449	2640	15571
1450	2642	15569
1451	2644	15567
1452	2646	15564
1453	2647	15562
1454	2649	15560
1455	2651	15557
1456	2653	15556
1457	2654	15552
1458	2656	15548
1459	2657	15545
1460	2659	15543
1461	2661	15540
1462	2662	15538
1463	2664	15537
1464	2666	15534
1465	2668	15532
1466	2669	15529
1467	2671	15525
1468	2672	15522
1469	2674	15519
1470	2676	15516
1471	2677	15514
1472	2679	15514
1473	2681	15510
1474	2683	15507
1475	2684	15504
1476	2686	15501
1477	2688	15499
1478	2689	15496
1479	2691	15492
1480	2692	15488
1481	2694	15485
1482	2696	15484
1483	2698	15482
1484	2699	15479
1485	2701	15476
1486	2703	15475
